id,type,src,dst,app,latency,message,ctime,size,buffer
47,LINK,1,0,SimpleCase,10.001,M.A,4700,1000,0
47,LINK,0,2,SimpleCase,1.0005,M.B,4710.005,500,0
48,LINK,1,0,SimpleCase,10.001,M.A,4800,1000,0
48,LINK,0,2,SimpleCase,1.0005,M.B,4810.005,500,0
49,LINK,1,0,SimpleCase,10.001,M.A,4900,1000,0
49,LINK,0,2,SimpleCase,1.0005,M.B,4910.005,500,0
50,LINK,1,0,SimpleCase,10.001,M.A,5000,1000,0
50,LINK,0,2,SimpleCase,1.0005,M.B,5010.005,500,0
51,LINK,1,0,SimpleCase,10.001,M.A,5100,1000,0
51,LINK,0,2,SimpleCase,1.0005,M.B,5110.005,500,0
52,LINK,1,0,SimpleCase,10.001,M.A,5200,1000,0
52,LINK,0,2,SimpleCase,1.0005,M.B,5210.005,500,0
53,LINK,1,0,SimpleCase,10.001,M.A,5300,1000,0
53,LINK,0,2,SimpleCase,1.0005,M.B,5310.005,500,0
54,LINK,1,0,SimpleCase,10.001,M.A,5400,1000,0
54,LINK,0,2,SimpleCase,1.0005,M.B,5410.005,500,0
55,LINK,1,0,SimpleCase,10.001,M.A,5500,1000,0
55,LINK,0,2,SimpleCase,1.0005,M.B,5510.005,500,0
56,LINK,1,0,SimpleCase,10.001,M.A,5600,1000,0
56,LINK,0,2,SimpleCase,1.0005,M.B,5610.005,500,0
57,LINK,1,0,SimpleCase,10.001,M.A,5700,1000,0
57,LINK,0,2,SimpleCase,1.0005,M.B,5710.005,500,0
58,LINK,1,0,SimpleCase,10.001,M.A,5800,1000,0
58,LINK,0,2,SimpleCase,1.0005,M.B,5810.005,500,0
59,LINK,1,0,SimpleCase,10.001,M.A,5900,1000,0
59,LINK,0,2,SimpleCase,1.0005,M.B,5910.005,500,0
60,LINK,1,0,SimpleCase,10.001,M.A,6000,1000,0
60,LINK,0,2,SimpleCase,1.0005,M.B,6010.005,500,0
61,LINK,1,0,SimpleCase,10.001,M.A,6100,1000,0
61,LINK,0,2,SimpleCase,1.0005,M.B,6110.005,500,0
62,LINK,1,0,SimpleCase,10.001,M.A,6200,1000,0
62,LINK,0,2,SimpleCase,1.0005,M.B,6210.005,500,0
63,LINK,1,0,SimpleCase,10.001,M.A,6300,1000,0
63,LINK,0,2,SimpleCase,1.0005,M.B,6310.005,500,0
64,LINK,1,0,SimpleCase,10.001,M.A,6400,1000,0
64,LINK,0,2,SimpleCase,1.0005,M.B,6410.005,500,0
65,LINK,1,0,SimpleCase,10.001,M.A,6500,1000,0
65,LINK,0,2,SimpleCase,1.0005,M.B,6510.005,500,0
66,LINK,1,0,SimpleCase,10.001,M.A,6600,1000,0
66,LINK,0,2,SimpleCase,1.0005,M.B,6610.005,500,0
67,LINK,1,0,SimpleCase,10.001,M.A,6700,1000,0
67,LINK,0,2,SimpleCase,1.0005,M.B,6710.005,500,0
68,LINK,1,0,SimpleCase,10.001,M.A,6800,1000,0
68,LINK,0,2,SimpleCase,1.0005,M.B,6810.005,500,0
69,LINK,1,0,SimpleCase,10.001,M.A,6900,1000,0
69,LINK,0,2,SimpleCase,1.0005,M.B,6910.005,500,0
70,LINK,1,0,SimpleCase,10.001,M.A,7000,1000,0
70,LINK,0,2,SimpleCase,1.0005,M.B,7010.005,500,0
71,LINK,1,0,SimpleCase,10.001,M.A,7100,1000,0
71,LINK,0,2,SimpleCase,1.0005,M.B,7110.005,500,0
72,LINK,1,0,SimpleCase,10.001,M.A,7200,1000,0
72,LINK,0,2,SimpleCase,1.0005,M.B,7210.005,500,0
73,LINK,1,0,SimpleCase,10.001,M.A,7300,1000,0
73,LINK,0,2,SimpleCase,1.0005,M.B,7310.005,500,0
74,LINK,1,0,SimpleCase,10.001,M.A,7400,1000,0
74,LINK,0,2,SimpleCase,1.0005,M.B,7410.005,500,0
